0,1,2
0586.jpg,0.9852,0.065
1352.jpg,0.9785,0.0977
1381.jpg,0.9732,0.1047
3146.jpg,0.9738,0.1019
4184.jpg,0.9742,0.0943
4561.jpg,0.9668,0.1076
5576.jpg,0.9758,0.0921
5920.jpg,0.9782,0.0827
7471.jpg,0.975,0.1019
8180.jpg,0.9822,0.0798
